"","malibu.750ml.unit.cume","malibu.1.75l.unit.cume","rh.1.75l.unit.cume","rh.750ml.unit.cume","store.id","store.id.old","chain","cluster","wine.sq.footage","state","market","iri.week.ending","week.ending","malibu.coconut.rum.1.75l.sales.units.cy","malibu.coconut.rum.1.75l.sales.dollars.cy","malibu.coconut.rum.1.75l.price","malibu.coconut.rum.750ml.sales.units.cy","malibu.coconut.rum.750ml.sales.dollars.cy","malibu.coconut.rum.750ml.price","rum.haven.coconut.rum.1.75l.sales.units.cy","rum.haven.coconut.rum.1.75l.sales.dollars.cy","rum.haven.coconut.rum.1.75l.price","rum.haven.coconut.rum.750ml.sales.units.cy","rum.haven.coconut.rum.750ml.sales.dollars.cy","rum.haven.coconut.rum.750ml.price"
"1",1,0,0,0,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","12/20/2015","12/19/2015",0,0,NA,1,"12.99",12.99,0,0,NA,0,0,NA
"2",1,1,0,0,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","1/3/2016","1/2/2016",1,21.99,21.99,0,"0",NA,0,0,NA,0,0,NA
"3",2,1,0,0,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","2/7/2016","2/6/2016",0,0,NA,1,"12.99",12.99,0,0,NA,0,0,NA
"4",2,1,0,0,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","3/6/2016","3/5/2016",0,0,NA,0,"0",NA,0,0,NA,0,0,NA
"5",2,2,0,0,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","3/13/2016","3/12/2016",1,21.99,21.99,0,"",NA,0,0,NA,0,0,NA
"6",4,2,0,0,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","3/20/2016","3/19/2016",0,0,NA,2,"25.98",12.99,0,0,NA,0,0,NA
"7",4,3,0,0,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","3/27/2016","3/26/2016",1,21.99,21.99,0,"",NA,0,0,NA,0,0,NA
"8",4,3,0,0,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","4/3/2016","4/2/2016",0,0,NA,0,"0",NA,0,0,NA,0,0,NA
"9",4,3,0,2,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","4/10/2016","4/9/2016",0,0,NA,0,"",NA,0,0,NA,2,25.98,12.99
"10",5,4,0,2,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","4/17/2016","4/16/2016",1,19.99,19.99,1,"11.99",11.99,0,0,NA,0,0,NA
"11",6,4,0,2,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","4/24/2016","4/23/2016",0,0,NA,1,"11.99",11.99,0,0,NA,0,0,NA
"12",6,4,0,2,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","5/1/2016","4/30/2016",0,0,NA,0,"0",NA,0,0,NA,0,0,NA
"13",9,6,0,3,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","5/8/2016","5/7/2016",2,39.98,19.99,3,"35.97",11.99,0,0,NA,1,12.99,12.99
"14",9,6,0,3,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","5/22/2016","5/21/2016",0,0,NA,0,"0",NA,0,0,NA,0,0,NA
"15",9,6,0,3,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","5/29/2016","5/28/2016",0,0,NA,0,"0",NA,0,0,NA,0,0,NA
"16",10,6,0,3,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","6/5/2016","6/4/2016",0,0,NA,1,"11.99",11.99,0,0,NA,0,0,NA
"17",12,6,0,4,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","6/12/2016","6/11/2016",0,0,NA,2,"23.98",11.99,0,0,NA,1,12.99,12.99
"18",13,7,0,4,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","6/19/2016","6/18/2016",1,19.99,19.99,1,"11.99",11.99,0,0,NA,0,0,NA
"19",13,8,0,4,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","6/26/2016","6/25/2016",1,19.99,19.99,0,"0",NA,0,0,NA,0,0,NA
"20",13,10,0,4,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","7/3/2016","7/2/2016",2,39.98,19.99,0,"",NA,0,0,NA,0,0,NA
"21",15,10,0,6,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","7/10/2016","7/9/2016",0,0,NA,2,"23.98",11.99,0,0,NA,2,25.98,12.99
"22",17,10,0,6,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","7/17/2016","7/16/2016",0,0,NA,2,"23.98",11.99,0,0,NA,0,0,NA
"23",19,11,0,6,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","7/24/2016","7/23/2016",1,19.99,19.99,2,"23.98",11.99,0,0,NA,0,0,NA
"24",19,12,0,6,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","7/31/2016","7/30/2016",1,19.99,19.99,0,"",NA,0,0,NA,0,0,NA
"25",19,12,0,6,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","8/7/2016","8/6/2016",0,0,NA,0,"0",NA,0,0,NA,0,0,NA
"26",21,12,0,6,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","8/21/2016","8/20/2016",0,0,NA,2,"23.98",11.99,0,0,NA,0,0,NA
"27",21,14,0,6,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","8/28/2016","8/27/2016",2,39.98,19.99,0,"0",NA,0,0,NA,0,0,NA
"28",24,15,0,7,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","9/4/2016","9/3/2016",1,19.99,19.99,3,"35.97",11.99,0,0,NA,1,12.99,12.99
"29",25,15,0,7,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","9/11/2016","9/10/2016",0,0,NA,1,"13.99",13.99,0,0,NA,0,0,NA
"30",25,16,0,8,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","9/18/2016","9/17/2016",1,21.99,21.99,0,"",NA,0,0,NA,1,12.99,12.99
"31",25,17,0,8,"179G",179,"GiantEagle","B",345,"OH","AKRON-CANTON","9/25/2016","9/24/2016",1,21.99,21.99,0,"",NA,0,0,NA,0,0,NA
