make,model,year,drive,transmission,vclass,fe_score,cylinders,displ,mpg_city,mpg_hwy,mpg_combined,bbl_annual,co2,fuel_cost,fuel_save
Acura,ILX,2015,Front-Wheel Drive,Automatic (S5),Compact Cars,7,4,2,24.3335,35.124,28.2372,11.75609,316,1600,0
Acura,ILX,2015,Front-Wheel Drive,Manual 6-spd,Compact Cars,6,4,2.4,21.8,31,25.3358,13.1844,350,1750,-750
Acura,MDX 2WD,2015,Front-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 2WD,5,6,3.5,19.8102,28.4694,22.9516,14.327048,387,1900,-1500
Acura,MDX 4WD,2015,All-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 4WD,5,6,3.5,18.3949,26.9579,21.4628,15.689436,416,2100,-2500
Acura,RDX 2WD,2015,Front-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 2WD,5,6,3.5,19.9584,28.2637,22.9997,14.327048,385,1900,-1500
Acura,RDX 4WD,2015,All-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 4WD,5,6,3.5,19.4391,26.9579,22.229,14.964294,399,2000,-2000
Acura,RLX,2015,Front-Wheel Drive,Automatic (S6),Midsize Cars,6,6,3.5,19.7916,30.7245,23.565,13.73375,378,1850,-1250
Acura,TLX,2015,Front-Wheel Drive,Auto(AM8),Compact Cars,7,4,2.4,24,35,28,11.75609,316,1600,0
Acura,TLX,2015,Front-Wheel Drive,Automatic (S9),Compact Cars,6,6,3.5,21,34,25,13.1844,358,1750,-750
Acura,TLX AWD,2015,All-Wheel Drive,Automatic (S9),Compact Cars,6,6,3.5,21.395,31,25.2057,13.1844,357,1750,-750
Alfa Romeo,4C,2015,Rear-Wheel Drive,Auto(AM6),Two Seaters,7,4,1.8,24.2492,34.3275,27.9406,11.75609,317,1600,0
Aston Martin,DB9,2015,Rear-Wheel Drive,Automatic (S6),Minicompact Cars,3,12,5.9,13.0796,18.6649,15.1149,21.974,588,2950,-6750
Aston Martin,Rapide S,2015,Rear-Wheel Drive,Automatic (S8),Subcompact Cars,4,12,6,13.9856,21.5191,16.6008,19.381068,534,2600,-5000
Aston Martin,V12 Vantage S,2015,Rear-Wheel Drive,Auto(AM7),Two Seaters,2,12,6,12.0366,18.3154,14.2321,23.534154,628,3150,-7750
Aston Martin,V8 Vantage,2015,Rear-Wheel Drive,Manual 6-spd,Two Seaters,3,8,4.7,12.9916,19.1766,15.1973,21.974,581,2950,-6750
Aston Martin,V8 Vantage,2015,Rear-Wheel Drive,Auto(AM7),Two Seaters,3,8,4.7,13.5127,20.7709,16.034,20.589638,551,2750,-5750
